Id,Sex,PopNum,Population,GOL,NOL,BNL
294,F,3,BERG,168,167,94
295,F,3,BERG,181,178,99
296,F,3,BERG,173,171,94
297,F,3,BERG,157,153,86
298,F,3,BERG,165,165,93
299,F,3,BERG,179,176,92
300,F,3,BERG,158,157,92
301,F,3,BERG,172,170,90
302,F,3,BERG,162,161,88
303,F,3,BERG,166,165,90
304,F,3,BERG,169,167,94
305,F,3,BERG,179,177,86
306,F,3,BERG,176,175,98
307,F,3,BERG,164,163,90
308,F,3,BERG,170,168,87
309,F,3,BERG,178,176,97
310,F,3,BERG,162,159,90
311,F,3,BERG,167,165,98
312,F,3,BERG,168,166,93
313,F,3,BERG,171,168,90
314,F,3,BERG,172,171,95
315,F,3,BERG,175,174,100
316,F,3,BERG,170,168,93
317,F,3,BERG,178,175,97
318,F,3,BERG,165,162,96
319,M,22,EGYPT,185,180,101
320,M,22,EGYPT,201,199,103
321,M,22,EGYPT,182,180,100
322,M,22,EGYPT,182,180,104
323,M,22,EGYPT,189,188,105
324,M,22,EGYPT,173,171,105
325,M,22,EGYPT,182,181,101
326,M,22,EGYPT,178,176,102
327,M,22,EGYPT,188,185,104
328,M,22,EGYPT,181,179,102
329,M,22,EGYPT,201,199,110
330,M,22,EGYPT,186,183,103
331,M,22,EGYPT,196,193,106
332,M,22,EGYPT,184,182,99
333,M,22,EGYPT,182,180,101
334,M,22,EGYPT,179,176,97
335,M,22,EGYPT,191,190,97
336,M,22,EGYPT,184,181,99
337,M,22,EGYPT,187,186,101
338,M,22,EGYPT,197,191,109
339,M,22,EGYPT,188,185,101
340,M,22,EGYPT,189,188,100
341,M,22,EGYPT,190,189,101
342,M,22,EGYPT,176,173,98
343,M,22,EGYPT,193,190,104
344,M,22,EGYPT,185,183,104
345,M,22,EGYPT,179,178,107
346,M,22,EGYPT,184,182,105
347,M,22,EGYPT,174,172,94
348,M,22,EGYPT,180,178,98
349,M,22,EGYPT,186,185,105
350,M,22,EGYPT,188,185,98
351,M,22,EGYPT,190,188,99
352,M,22,EGYPT,188,186,100
353,M,22,EGYPT,183,180,100
354,M,22,EGYPT,181,179,102
355,M,22,EGYPT,191,190,97
356,M,22,EGYPT,180,177,101
357,M,22,EGYPT,188,186,93
358,M,22,EGYPT,192,190,104
359,M,22,EGYPT,173,172,96
360,M,22,EGYPT,185,184,104
361,M,22,EGYPT,185,182,98
362,M,22,EGYPT,191,188,108
363,M,22,EGYPT,180,178,99
364,M,22,EGYPT,196,194,107
365,M,22,EGYPT,187,186,102
366,M,22,EGYPT,182,181,98
367,M,22,EGYPT,192,190,104
368,M,22,EGYPT,181,179,99
369,M,22,EGYPT,182,181,98
370,M,22,EGYPT,187,186,105
371,M,22,EGYPT,188,186,105
372,M,22,EGYPT,188,186,99
373,M,22,EGYPT,188,185,103
374,M,22,EGYPT,187,186,102
375,M,22,EGYPT,180,180,104
376,M,22,EGYPT,181,179,96
377,F,22,EGYPT,170,171,92
378,F,22,EGYPT,181,180,98
379,F,22,EGYPT,182,181,100
380,F,22,EGYPT,177,177,96
381,F,22,EGYPT,180,180,93
382,F,22,EGYPT,173,172,99
383,F,22,EGYPT,172,172,95
384,F,22,EGYPT,177,176,92
385,F,22,EGYPT,172,172,97
386,F,22,EGYPT,177,177,97
387,F,22,EGYPT,176,178,95
388,F,22,EGYPT,175,175,96
389,F,22,EGYPT,179,177,101
390,F,22,EGYPT,183,182,101
391,F,22,EGYPT,178,177,94
392,F,22,EGYPT,171,170,90
393,F,22,EGYPT,178,177,97
394,F,22,EGYPT,172,172,92
395,F,22,EGYPT,171,171,93
396,F,22,EGYPT,165,166,95
397,F,22,EGYPT,172,171,95
398,F,22,EGYPT,171,170,94
399,F,22,EGYPT,185,184,97
400,F,22,EGYPT,175,173,94
401,F,22,EGYPT,178,178,101
402,F,22,EGYPT,179,178,96
403,F,22,EGYPT,177,178,97
404,F,22,EGYPT,176,176,92
405,F,22,EGYPT,173,173,92
406,F,22,EGYPT,176,175,98
407,F,22,EGYPT,174,172,93
408,F,22,EGYPT,180,179,97
409,F,22,EGYPT,178,177,95
410,F,22,EGYPT,180,180,96
411,F,22,EGYPT,172,171,91
412,F,22,EGYPT,176,176,95
413,F,22,EGYPT,177,176,100
414,F,22,EGYPT,179,179,105
415,F,22,EGYPT,176,175,91
416,F,22,EGYPT,170,171,97
417,F,22,EGYPT,172,173,92
418,F,22,EGYPT,186,185,103
419,F,22,EGYPT,168,167,94
420,F,22,EGYPT,171,169,95
421,F,22,EGYPT,177,176,102
422,F,22,EGYPT,176,176,95
423,F,22,EGYPT,170,168,92
424,F,22,EGYPT,172,171,97
425,F,22,EGYPT,172,171,95
426,F,22,EGYPT,169,169,95
427,F,22,EGYPT,176,174,95
428,F,22,EGYPT,181,181,99
429,F,22,EGYPT,183,182,99
430,M,4,TEITA,189,187,98
431,M,4,TEITA,178,177,99
432,M,4,TEITA,187,185,107
433,M,4,TEITA,192,190,111
434,M,4,TEITA,191,189,97
435,M,4,TEITA,186,185,106
436,M,4,TEITA,187,184,103
437,M,4,TEITA,190,186,102
438,M,4,TEITA,198,195,107
439,M,4,TEITA,179,178,106
440,M,4,TEITA,180,177,103
441,M,4,TEITA,180,179,104
442,M,4,TEITA,184,183,110
443,M,4,TEITA,182,180,101
444,M,4,TEITA,180,178,104
445,M,4,TEITA,186,184,104
446,M,4,TEITA,182,182,101
447,M,4,TEITA,182,180,102
448,M,4,TEITA,178,177,100
449,M,4,TEITA,183,182,98
450,M,4,TEITA,188,186,103
451,M,4,TEITA,173,173,98
452,M,4,TEITA,186,186,100
453,M,4,TEITA,187,185,105
454,M,4,TEITA,184,181,102
455,M,4,TEITA,178,176,106
456,M,4,TEITA,181,180,97
457,M,4,TEITA,180,179,101
458,M,4,TEITA,184,183,100
459,M,4,TEITA,190,188,103
460,M,4,TEITA,184,183,100
461,M,4,TEITA,178,179,96
462,M,4,TEITA,185,185,99
463,F,4,TEITA,180,177,103
464,F,4,TEITA,173,169,93
465,F,4,TEITA,182,182,97
466,F,4,TEITA,174,173,92
467,F,4,TEITA,185,182,95
468,F,4,TEITA,175,175,101
469,F,4,TEITA,174,174,97
470,F,4,TEITA,163,161,95
471,F,4,TEITA,175,173,97
472,F,4,TEITA,184,182,98
473,F,4,TEITA,181,181,101
474,F,4,TEITA,176,175,97
475,F,4,TEITA,182,181,100
476,F,4,TEITA,171,168,90
477,F,4,TEITA,171,171,101
478,F,4,TEITA,177,176,97
479,F,4,TEITA,177,177,97
480,F,4,TEITA,176,174,98
481,F,4,TEITA,185,184,100
482,F,4,TEITA,175,174,95
483,F,4,TEITA,172,171,90
484,F,4,TEITA,169,167,92
485,F,4,TEITA,177,174,92
486,F,4,TEITA,172,171,95
487,F,4,TEITA,166,165,95
488,F,4,TEITA,172,172,98
489,F,4,TEITA,179,177,93
490,F,4,TEITA,176,174,97
491,F,4,TEITA,177,173,94
492,F,4,TEITA,178,178,97
493,F,4,TEITA,176,174,98
494,F,4,TEITA,172,172,96
495,F,4,TEITA,178,178,100
496,F,4,TEITA,163,163,90
497,F,4,TEITA,168,165,92
498,F,4,TEITA,166,166,93
499,F,4,TEITA,172,172,97
500,F,4,TEITA,179,179,100
501,F,4,TEITA,177,177,101
502,F,4,TEITA,171,171,100
503,F,4,TEITA,169,168,97
504,F,4,TEITA,171,170,95
505,F,4,TEITA,175,174,99
506,F,4,TEITA,176,174,95
507,F,4,TEITA,177,177,100
508,F,4,TEITA,176,175,96
509,F,4,TEITA,180,179,102
510,F,4,TEITA,174,173,94
511,F,4,TEITA,169,168,94
512,F,4,TEITA,173,171,95
513,M,5,DOGON,175,173,100
514,M,5,DOGON,182,178,100
515,M,5,DOGON,169,169,101
516,M,5,DOGON,177,174,96
517,M,5,DOGON,194,188,102
